2026-06-12 17:26:29 | SESSION_START | speaker=Jovin | confidence=n/a | motor=n/a | vision node online
2026-06-12 17:26:30 | MOTOR_COMMAND | speaker=Jovin | confidence=0.00 | motor=NO_FACE | published=NO_FACE
2026-06-12 17:26:42 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.59 | motor=n/a | target entered frame
2026-06-12 17:26:42 | MOVED_LEFT | speaker=Jovin | confidence=0.59 | motor=n/a | cx_norm=0.20
2026-06-12 17:26:42 | MOTOR_COMMAND | speaker=Jovin | confidence=0.59 | motor=CENTERED | published=CENTERED
2026-06-12 17:26:43 | STOPPED | speaker=Jovin | confidence=0.55 | motor=n/a | cx_norm=0.44
2026-06-12 17:26:44 | MOVED_RIGHT | speaker=Jovin | confidence=0.78 | motor=n/a | cx_norm=0.60
2026-06-12 17:26:44 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:26:47 | LOCK_LOST | speaker=Jovin | confidence=n/a | motor=n/a | target left frame beyond tolerance
2026-06-12 17:26:47 | MOTOR_COMMAND | speaker=Jovin | confidence=0.00 | motor=NO_FACE | published=NO_FACE
2026-06-12 17:26:50 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.72 | motor=n/a | target entered frame
2026-06-12 17:26:50 | MOVED_RIGHT | speaker=Jovin | confidence=0.72 | motor=n/a | cx_norm=0.81
2026-06-12 17:26:50 | MOTOR_COMMAND | speaker=Jovin | confidence=0.72 | motor=CENTERED | published=CENTERED
2026-06-12 17:26:51 | STOPPED | speaker=Jovin | confidence=0.46 | motor=n/a | cx_norm=0.58
2026-06-12 17:26:51 | MOVED_LEFT | speaker=Jovin | confidence=0.74 | motor=n/a | cx_norm=0.38
2026-06-12 17:26:52 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:26:55 | LOCK_LOST | speaker=Jovin | confidence=n/a | motor=n/a | target left frame beyond tolerance
