2026-06-12 17:29:22 | SESSION_START | speaker=Jovin | confidence=n/a | motor=n/a | camera opened
2026-06-12 17:29:28 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.57 | motor=n/a | target entered frame
2026-06-12 17:29:28 | MOVED_LEFT | speaker=Jovin | confidence=0.57 | motor=n/a | cx_norm=0.31
2026-06-12 17:29:28 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:29 | BACK_IN_FRAME | speaker=Jovin | confidence=0.58 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:29 | MOVED_LEFT | speaker=Jovin | confidence=0.58 | motor=n/a | cx_norm=0.34
2026-06-12 17:29:29 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:29 | BACK_IN_FRAME | speaker=Jovin | confidence=0.68 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:29 | STOPPED | speaker=Jovin | confidence=0.68 | motor=n/a | cx_norm=0.42
2026-06-12 17:29:29 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:29 | BACK_IN_FRAME | speaker=Jovin | confidence=0.71 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:29 | STOPPED | speaker=Jovin | confidence=0.71 | motor=n/a | cx_norm=0.46
2026-06-12 17:29:29 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:29 | BACK_IN_FRAME | speaker=Jovin | confidence=0.69 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:29 | STOPPED | speaker=Jovin | confidence=0.69 | motor=n/a | cx_norm=0.50
2026-06-12 17:29:29 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:29 | BACK_IN_FRAME | speaker=Jovin | confidence=0.71 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:29 | STOPPED | speaker=Jovin | confidence=0.71 | motor=n/a | cx_norm=0.56
2026-06-12 17:29:29 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:29 | BACK_IN_FRAME | speaker=Jovin | confidence=0.46 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:29 | MOVED_RIGHT | speaker=Jovin | confidence=0.46 | motor=n/a | cx_norm=0.66
2026-06-12 17:29:30 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:30 | BACK_IN_FRAME | speaker=Jovin | confidence=0.69 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:30 | MOVED_RIGHT | speaker=Jovin | confidence=0.69 | motor=n/a | cx_norm=0.80
2026-06-12 17:29:30 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:33 | LOCK_LOST | speaker=Jovin | confidence=n/a | motor=n/a | target left frame beyond tolerance
2026-06-12 17:29:34 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.63 | motor=n/a | target entered frame
2026-06-12 17:29:34 | MOVED_RIGHT | speaker=Jovin | confidence=0.63 | motor=n/a | cx_norm=0.82
2026-06-12 17:29:34 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:34 | BACK_IN_FRAME | speaker=Jovin | confidence=0.72 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:34 | MOVED_RIGHT | speaker=Jovin | confidence=0.72 | motor=n/a | cx_norm=0.73
2026-06-12 17:29:34 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:35 | BACK_IN_FRAME | speaker=Jovin | confidence=0.70 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:35 | MOVED_RIGHT | speaker=Jovin | confidence=0.70 | motor=n/a | cx_norm=0.63
2026-06-12 17:29:35 | STOPPED | speaker=Jovin | confidence=0.74 | motor=n/a | cx_norm=0.56
2026-06-12 17:29:35 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:35 | BACK_IN_FRAME | speaker=Jovin | confidence=0.69 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:35 | STOPPED | speaker=Jovin | confidence=0.69 | motor=n/a | cx_norm=0.43
2026-06-12 17:29:35 | MOVED_LEFT | speaker=Jovin | confidence=0.78 | motor=n/a | cx_norm=0.40
2026-06-12 17:29:35 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:35 | BACK_IN_FRAME | speaker=Jovin | confidence=0.68 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:35 | MOVED_LEFT | speaker=Jovin | confidence=0.68 | motor=n/a | cx_norm=0.28
2026-06-12 17:29:36 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:36 | BACK_IN_FRAME | speaker=Jovin | confidence=0.70 | motor=n/a | target visible again after occlusion
2026-06-12 17:29:36 | MOVED_LEFT | speaker=Jovin | confidence=0.70 | motor=n/a | cx_norm=0.21
2026-06-12 17:29:36 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:29:39 | LOCK_LOST | speaker=Jovin | confidence=n/a | motor=n/a | target left frame beyond tolerance
